Date,Estimated earnings (USD),Page views,Page RPM (USD),Impressions,Impression RPM (USD),Active View Viewable,Clicks
2020-09-29,0.18,238,0.74,514,0.34,0.4669,3
2020-09-30,0.03,127,0.26,287,0.11,0.4618,1
2020-10-01,0.16,150,1.04,341,0.46,0.3697,3
2020-10-02,0.29,412,0.70,1027,0.28,0.4543,5
2020-10-03,0.21,367,0.58,1043,0.21,0.4287,4
2020-10-04,0.13,386,0.33,1210,0.11,0.4406,4
2020-10-05,0.22,265,0.82,722,0.30,0.4347,3
2020-10-06,0.13,279,0.46,791,0.16,0.4228,3
2020-10-07,0.22,451,0.50,1063,0.21,0.493,4
2020-10-08,0.22,279,0.78,684,0.32,0.4553,4
2020-10-09,0.48,446,1.07,1290,0.37,0.425,9
2020-10-10,0.22,387,0.57,1254,0.18,0.4615,2
2020-10-11,0.01,216,0.07,557,0.03,0.4239,0
2020-10-12,0.09,186,0.47,483,0.18,0.3917,1
2020-10-13,0.01,134,0.08,305,0.04,0.4323,0
2020-10-14,0.00,93,0.03,153,0.02,0.531,0
2020-10-15,0.09,167,0.53,411,0.22,0.4338,1
2020-10-16,0.21,253,0.83,782,0.27,0.4704,4
2020-10-17,0.07,296,0.24,912,0.08,0.447,1
2020-10-18,0.24,671,0.36,2066,0.12,0.4969,9
2020-10-19,0.56,384,1.46,939,0.60,0.4377,9
2020-10-20,0.24,237,1.00,507,0.47,0.5098,5
2020-10-21,0.07,371,0.20,1037,0.07,0.4083,3
2020-10-22,0.89,273,3.26,859,1.03,0.4759,7
2020-10-23,0.74,303,2.43,1053,0.70,0.4929,8
2020-10-24,0.32,354,0.91,1230,0.26,0.4811,4
2020-10-25,0.43,207,2.05,711,0.60,0.5134,6
2020-10-26,0.67,209,3.20,614,1.09,0.4836,5
2020-10-27,0.05,184,0.30,450,0.12,0.4207,2
2020-10-28,0.40,327,1.21,1006,0.39,0.4114,3
2020-10-29,0.17,215,0.81,653,0.27,0.3991,2
2020-10-30,0.19,151,1.25,469,0.40,0.4258,2
2020-10-31,0.14,310,0.44,962,0.14,0.4604,3
2020-11-01,0.25,289,0.88,919,0.28,0.5054,7
2020-11-02,0.19,326,0.60,860,0.23,0.4411,1
2020-11-03,0.29,375,0.78,1115,0.26,0.4583,5
