Month,Posts Total,Posts Growth,Views,Views Growth
2016 10,0,0,2,236
2016 11,4,4,218,454
2016 12,2,6,191,645
2017 01,0,6,3,648
2017 02,0,6,16,664
2017 03,0,6,8,672
2017 04,0,6,10,682
2017 05,1,7,116,798
2017 06,2,9,424,1222
2017 07,2,11,400,1622
2017 08,0,11,80,1702
2017 09,1,12,190,1892
2017 10,6,18,1621,3513
2017 11,16,34,1710,5223
2017 12,29,63,1694,6917
2018 01,28,91,2821,9738
2018 02,5,96,5114,14852
2018 03,4,100,2706,17558
2018 04,14,114,3821,21379
2018 05,24,138,5307,26686
2018 06,2,140,1741,28427
2018 07,2,142,4212,32639
2018 08,8,150,4094,36733
2018 09,10,160,7189,43922
2018 10,10,170,3208,47130
2018 11,25,195,8356,55486
2018 12,12,207,6456,61942
2019 01,7,214,7375,69317
2019 02,9,223,6978,76295
2019 03,11,234,17210,93505
2019 04,0,234,8085,101590
2019 05,21,255,12794,114384
2019 06,20,275,13365,127749
2019 07,12,287,16191,143940
2019 08,16,303,13906,157846
2019 09,5,308,16302,174148
2019 10,6,314,8674,182822
2019 11,18,332,14485,197307
2019 12,30,362,19258,216565
2020 01,33,395,21885,238450
2020 02,24,419,17263,255713
2020 03,37,456,23526,279239
2020 04,23,479,15589,294828
2020 05,20,499,35265,330093
2020 06,13,512,34693,364786
2020 07,15,527,42048,406834
2020 08,25,552,33659,440493
2020 09,18,570,32450,472943
2020 10,21,591,37613,510556
2020 11,12,603,29881,540437
2020 12,6,609,31316,571753
2021 01,18,627,30752,602505
2021 02,25,652,27189,629694
2021 03,46,698,35424,665118
2021 04,50,748,29553,694671
2021 05,61,809,53297,747968
2021 06,44,853,53765,801733
2021 07,34,887,45809,847542
2021 08,33,920,34250,881792
2021 09,59,979,38656,920448
2021 10,58,1037,45733,966181
2021 11,26,1063,36052,1002233
2021 12,136,1199,39491,1041724
2022 01,174,1373,44983,1086707
2022 02,78,1451,33679,1120386
2022 03,53,1504,30249,1150635
2022 04,15,1519,23883,1174518
2022 05,53,1572,25804,1200322
2022 06,71,1643,19445,1219767
2022 07,92,1735,21202,1240969
2022 08,19,1754,17121,1258090
2022 09,33,1787,14509,1272599
2022 10,43,1830,11618,1284217
2022 11,19,1849,6745,1290962
2022 12,5,1854,6963,1297925
2023 01,32,1886,10580,1308505
2023 02,39,1925,6084,1314589
2023 03,9,1934,4154,1318743
2023 04,16,1950,4999,1323742
2023 05,25,1975,6195,1329937
2023 06,11,1986,9585,1339522
2023 07,18,2004,27490,1367012
2023 08,5,2009,9533,1376545
2023 09,7,2016,28672,1405217
2023 10,31,2047,7119,1412336
2023 11,9,2056,4812,1417148
2023 12,27,2083,7431,1424579
2024 01,38,2121,6042,1430621
2024 02,19,2140,6922,1437543
2024 03,9,2149,13434,1450977
